0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Educomputación Chile,Educomputación Chile,Educomputación Chile,http://www.educomputacion.cl/,"Agregador, Repositório",Independent,Independiente,Independente,Chile,-33.598278,-70.701624,Esmeralda 209,San Bernardo,San Bernardo,San Bernardo,Spanish,Spanish,None,None,,,,,"http://www.educomputacion.cl/component/option,com_/Itemid,3/",,"Text, Video","ISCED 0 (0 - Early childhood education), ISCED 1 (1 – Primary), ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary)

","Science, Language, Art, Sexuality, Religion, Language and Communication, Physical Education, English, Technology,  History and Geography, Physics, Biology, Chemistry, Mathematics",,,,,,"Join, Contact"
Enlaces,Enlaces,Enlaces,http://www.enlaces.cl/index.php?t=81&i=2&cc=2357&tm=2,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Chile,-33.445088,-70.658448,Av. Libertador Bernardo O´Higgins 1583,Santiago,Santiago,Santiago,Spanish,Spanish,CC-BY,,,,,,o.enlaces@mineduc.cl,,"Digital Class

","ISCED 1 (1 - Primary)
",,Government of Chile,Gobierno de Chile,Governo do Chile,,,Contact
Sector Matemática,Sector Matemática,Sector Matemática,http://www.sectormatematica.cl/,Repositório,Independent,Independiente,Independente,Chile,-53.154538,-70.923913,"Graciela Barría 0381, Villa Magisterio",Punta Arenas,Punta Arenas,Punta Arenas,Spanish,Spanish,Copyright,None,,,,,webmaster@sectormatematica.cl,,Text,"ISCED 0 (0 - Early childhood education), ISCED 1 (1 - Primary) , ISCED 2 (2 - Lower secondary)  ISCED 3 (3 - Upper secondary), ISCED 5 (5 - Short-cycle tertiary), ISCED 6 (6 - Bachelor or equivalent)",Mathematics,,,,2000 – 2010,,
YoEstudio,YoEstudio,YoEstudio,http://www.yoestudio.cl/,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Chile,-33.444664,-70.655204,"Av. Libertador Bernardo O'Higgins, 1371",Santiago,Santiago,Santiago,Spanish,Spanish,CC-BY,,"Emol, Kokori, British Council, Intel, Puntaje Nacional, Julio Profe Net","Emol, Kokori, British Council, Intel, Puntaje Nacional, Julio Profe Net","Emol, Kokori, British Council, Intel, Puntaje Nacional, Julio Profe Net",,,,,,,Government of Chile,Gobierno de Chile,Governo do Chile,,,Join
Colômbia Aprende,Colômbia Aprende,Colômbia Aprende,http://www.colombiaaprende.edu.co/,"Agregador, Repositório, Dinâmico",Ministerio de Educación Nacional,Ministerio de Educación Nacional,Ministerio de Educación Nacional,Colômbia,4.646760,-74.094785,Calle 43 No 57-14,Bogotá,Bogotá,Bogotá,Spanish,Spanish,None,"CC-BY-NC, Other",,,,,http://www.colombiaaprende.edu.co/html/home/1592/w3-article-312087.html,,"Animation, Audio, Digital Class, Image, Simulation, Text, Video",ISCED 0 (0 - Early childhood education)  ISCED 1 (1 - Primary)  ISCED 2 (2 - Lower secondary)  ISCED 3 (3 - Upper secondary),"Mathematics, Language, Natural Science, Social Science, Physical Education, Art Education, Ethics and Citizenship, Foreign Languages, Technology and Informatics",Government of Colombia,Gobierno de Colombia,Governo da Colômbia,,,"Contact, Join, Community, Contribute"
Eduteka,Eduteka,Eduteka,http://www.eduteka.org/,"Agregador, Repositório, Dinâmico",Fundación Gabriel Piedrahita Uribe (FGPU),Fundación Gabriel Piedrahita Uribe (FGPU),Fundación Gabriel Piedrahita Uribe (FGPU),Colômbia,3.367017,-76.528403,Carrera 100 No 16-20,Cali,Cali,Cali,Spanish,Spanish,Copyright,CC-BY-NC,,,,,http://www.eduteka.org/quienes.php3#o,,"Text, Software",,"Art, Natural Science, Social Science, Humanities, Informatics, Spanish Language and Literature, Foreign Languages",,,,2000-2014,"XML, QR","Contact, Join, Comment, Community, Contribute"
Julio Profe Net,Julio Profe Net,Julio Profe Net,http://www.julioprofe.net/,Agregador,Independent,Independiente,Independente,Colômbia,3.420344,-76.522782,,Cali,Cali,Cali,Spanish,Spanish,None,Other,,,,,julioprofecolombia@gmail.com,,Video,,"Mathematics, Physics, Geometry",,,,,,
Aliança Educación para la Construcción de Culturas de Paz,Aliança Educación para la Construcción de Culturas de Paz,Aliança Educación para la Construcción de Culturas de Paz,http://www.educacionparalapaz.org.co/,"Agregador, Repositório",Alianza Educación para la Construcción de Culturas de Paz,Alianza Educación para la Construcción de Culturas de Paz,Alianza Educación para la Construcción de Culturas de Paz,Colômbia,4.596079,-74.073462,Calle 10 No 4-21,Bogotá,Bogotá,Bogotá,Spanish,Spanish,None,None,,,,,http://www.educacionparalapaz.org.co/enos.htm,,"Audio, Text, Video, Game",,,,,,,,"Contact, Community, Contribute"
educ@tico,educ@tico,educ@tico,http://www.mep.go.cr/educatico,Repositório,Ministerio de Educación Pública,Ministerio de Educación Pública,Ministerio de Educación Pública,Costa Rica,9.935326,-84.085772,Avenue 1,San Jose,San Jose,San Jose,Spanish,Spanish,Copyright,"CC-BY-NC-SA, None","Unesco, Relpe, OEI, Ceducar","Unesco, Relpe, OEI, Ceducar","Unesco, Relpe, OEI, Ceducar",,http://www.mep.go.cr/enos,,"Audio, Image, Game, Text, Video","ISCED 0 (0 - Early childhood education), ISCED 1 (1 – Primary), ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary)
","Mathematics, Art, Biology, Science, Physical Education, Civic Education, Spanish, Social Studies, Philosophy, Physics, French, Informatics, English, Mathematics, Psychology, Chemistry, Religion, Technology",,,,,,Contact
Luz y Diversión,Luz y Diversión,Luz y Diversión,http://www.luzydiversion.go.cr/,Repositório,Compañía Nacional de Fuerza y Luz,Compañía Nacional de Fuerza y Luz,Compañía Nacional de Fuerza y Luz,Costa Rica,9.936817,-84.078065,Calle 1,San Jose,San Jose,San Jose,Spanish,Spanish,Copyright,None,,,,,portalempresarial@cnfl.go.cr,,"Audio, Image, Game, Simulation, Text, Video",,Science,,,,,,Contact
educacion.gob,educacion.gob,educacion.gob,http://educacion.gob.ec/documentos-pedagogicos/,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Equador,-0.180425,-78.486759,Av. Amazonas N34-451 y Av. Atahualpa,Quito,Quito,Quito,Spanish,Spanish,None,,,,,,http://educacion.gob.ec/o/,,Text,"ISCED 1 (1 - Primary), ISCED 2 (2 - Lower secondary)","Natural Science, Social Science, English, Language and Literature, Mathematics",Government of Ecuador,Gobierno de Ecuador,Governo do Equador,,,Contact
mineduc.edu,mineduc.edu,mineduc.edu,http://www.mineduc.edu.gt/,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Guatemala,14.608852,-90.513848,6ta Calle 1-87 Zona 10,Ciudad de Guatemala,Ciudad de Guatemala,Ciudad de Guatemala,Spanish,Spanish,Copyright,Copyright,,,,,innova@mineduc.edu.gt,,Text,,,Government of Guatemala,Gobierno de Guatemala,Governo da Guatemala,,,
Carpeta Pedagógica,Carpeta Pedagógica,Carpeta Pedagógica,http://carpetapedagogica.com/,"Repositório, Dinâmico",Carpeta Pedagógica,Carpeta Pedagógica,Carpeta Pedagógica,Peru,-12.004454,-77.063949,"Av. Alfredo Mendiola 5127, Los Olivos",Lima,Lima,Lima,Spanish,Spanish,Copyright,None,,,,,administracion@carpetapedagogica.com,,"Image, Text, Video",,"Natural Science, Geography, History of Peru, History, Civic Education, Mathematics, Physics, Informatics, Language, Economy, Psychology, Philosophy, Religion",,,,,,"Contact, Comment, Contribute "
PerúEduca,PerúEduca,PerúEduca,http://www.perueduca.pe/,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,Peru,-12.085816,-77.005759,Av. De la Poesía Nº 155,San Borja,San Borja,San Borja,Spanish,Spanish,None,,,,,,soporte@perueduca.pe,,,,,,,,,,Join
Educando,Educando,Educando,http://www.educando.edu.do/,Repositório,Ministerio de Educación,Ministerio de Educación,Ministerio de Educación,República Dominicana,18.463488,-69.908692,"Avenida Máximo Gómez, 02",Santo Domingo,Santo Domingo,Santo Domingo,Spanish,Spanish,None,None,,,,,educando@educando.edu.do ,,"Animation, Audio, Image, Game, Text, Video",,"Spanish, Matemática, Natural Science, Social Science, Foreign Languages, English, French, Religion, Art Education, Physical Education",,,,,,"Join, Comment, Community"
Uruguay Educa,Uruguay Educa,Uruguay Educa,http://www.uruguayeduca.edu.uy/,"Agregador, Repositório",Administración Nacional de Educación Pública,Administración Nacional de Educación Pública,Administración Nacional de Educación Pública,Uruguai,-34.904683,-56.194079,Av. Libertador 1409,Montevideo,Montevideo,Montevideo,Spanish,Spanish,Other,None,,,,,o@uruguayeduca.edu.uy,,"Audio, Image, Simulation, Text, Video","ISCED 0 (0 - Early childhood education), ISCED 1 (1 – Primary), ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary), ISCED 5 (5 - Short-cycle tertiary), ISCED 6 (6 - Bachelor or equivalent)","Arts, Natural Sciences, Mathematics, Social Science, Languages, Physical Education, Education and Technology",Government of Uruguay,Gobierno de Uruguay,Governo do Uruguai,,,"Contact, Join, Comment, Community"
Plan Ceibal,Plan Ceibal,Plan Ceibal,http://www.ceibal.edu.uy/recurso/educaci%C3%B3n-inicial-y-primaria,Repositório,Centro Ceibal para el Apoyo a la Educación de la Niñez y la Adolescencia,Centro Ceibal para el Apoyo a la Educación de la Niñez y la Adolescencia,Centro Ceibal para el Apoyo a la Educación de la Niñez y la Adolescencia,Uruguai,-34.879420,-56.076750,"Av. Italia, 6201",Montevideo,Montevideo,Montevideo,Spanish,Spanish,None,"CC, CC-BY-NC-SA",,,,,ceibal@plan.ceibal.edu.uy,,"Audio, Digital Class, Image, Game, Simulation, Text, Video","ISCED 0 (0 - Early childhood education), ISCED 1 (1 – Primary), ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary)","Informatics, History, Geography, Mathematics, Physical Education, Science, Aesthetics, Civic Education, Technology",,,,,,Join
Red Escolar Nacional,Red Escolar Nacional,Red Escolar Nacional,http://www.rena.edu.ve/,Repositório,"Ministerio del Poder Popular para Ciencia, Tecnología y Innovación","Ministerio del Poder Popular para Ciencia, Tecnología y Innovación","Ministerio del Poder Popular para Ciencia, Tecnología y Innovación",Venezuela,10.485830,-66.836781,1 y 2 Autopista Francisco Fajardo,Caracas,Caracas,Caracas,Spanish,Spanish,Copyright,"Copyright, CC-BY-NC-SA","Ministerio del Poder Popular para la Educación, Cooperativa Serendipity, Universidad de Los Andes","Ministerio del Poder Popular para la Educación, Cooperativa Serendipity, Universidad de Los Andes","Ministerio del Poder Popular para la Educación, Cooperativa Serendipity, Universidad de Los Andes",,webmaster@rena.edu.ve,,"Digital Class, Text","ISCED 0 (0 - Early childhood education), ISCED 1 (1 – Primary), ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary)",,Government of Venezuela,Gobierno de Venezuela,Governo da Venezuela,,,"Join, Community"
Centro de Recursos para la Enseñanza y el Aprendizaje (CREA),Centro de Recursos para la Enseñanza y el Aprendizaje (CREA),Centro de Recursos para la Enseñanza y el Aprendizaje (CREA),http://www.crea.udg.mx/,"Repositório, Dinâmico",Universidad de Guadalajara,Universidad de Guadalajara,Universidad de Guadalajara,México,20.676528,-103.369697,Escuela Militar de Aviación No. 16. Col. Ladrón de Guevara,Guadalajara,Guadalajara,Guadalajara,Spanish,Spanish,Copyright,"CC-BY-NC-SA, None, Other",,,,,jazmin.mariscal@redudg.udg.mx,,,,"Natural Sciences and Mathematics, Social Science, Philosophy and Psychology, General, Geography and History, Arts, Languages, Literature and Rhetoric, Religion, Technology",,,,,OAI,Join
Temoa Open Educational Resources Portal,Temoa Open Educational Resources Portal,Temoa Open Educational Resources Portal,http://www.temoa.info/,Agregador,Tecnológico de Monterrey,Tecnológico de Monterrey,Tecnológico de Monterrey,Argentina,,,Ave. Eugenio Garza Sada 2501 Sur Col. Tecnológico,Monterrey,Monterrey,,Spanish,"Spanish, French, English, Portuguese, Other
",Copyright,,,,,,http://www.temoa.info/,,"Audio, Image, Software, Text, Video
","ISCED 0 (0 - Early childhood education), ISCED 1 (1 – Primary), ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary), ISCED 4 (4 - Post-secondary non-tertiary), ISCED 5 (5 - Short-cycle tertiary), ISCED 6 (6 - Bachelor or equivalent)","Sciences, Languages and Literatures, Social Science, General, Engineering & Applied Sciences, History & Archaeology, Health Sciences, Business & Economics, Arts, Architecture & Applied Arts, Law, Politics & Government, Journalism & Communications, Music, Dance, Drama & Film",,,,,,"Contact, Join, Contribute
"
Portal de la Educación Básica em México,Portal de la Educación Básica em México,Portal de la Educación Básica em México,http://basica.sep.gob.mx/,Repositório,Secretaría de Educación Pública,Secretaría de Educación Pública,Secretaría de Educación Pública,Argentina,19.437568,-99.131466,"Argentina 28, Col. Centro","Ciudad de México, D.F.","Ciudad de México, D.F.",,Spanish,Spanish,Copyright,,,,,,basica@sep.gob.mx,,Text,"ISCED 0 (0 - Early childhood education), ISCED 1 (1 – Primary), ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary)","Art Education, Physical Education, Spanish, Nature and Society, Ethics and Citizenship, Mathematics",Government of Mexico,Gobierno de México,Governo do México,,,
Habilidades Digitales para Todos,Habilidades Digitales para Todos,Habilidades Digitales para Todos,http://www.hdt.gob.mx/hdt/,Repositório,Secretaría de Educación Pública,Secretaría de Educación Pública,Secretaría de Educación Pública,Argentina,19.430192,-99.154839,"Versalles 49,Colonia Juárez, Cuauhtémoc","Ciudad de México, D.F.","Ciudad de México, D.F.",,Spanish,Spanish,None,None,,,,,hdt@sep.gob.mx,,"Digital Class, Audio, Text","ISCED 0 (0 - Early childhood education), ISCED 1 (1 – Primary), ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary)","Natural Science, Art Education, Physical Education	, Spanish, Nature and Society, Ethics and Citizenship, Mathematics, Geography, History",Government of Mexico,Gobierno de México,Governo do México,,,"Contact, Comment"
Encicloabierta,Encicloabierta,Encicloabierta,http://www.encicloabierta.org/,Repositório,Independent,Independiente,Independente,Argentina,19.430865,-99.152185,,"Ciudad de México, D.F.","Ciudad de México, D.F.",,Spanish,Spanish,None,None,,,,,info@encicloabierta.org,,Digital Class  ,"ISCED 1 (1 - Primary), ISCED 2 (2 - Lower secondary), ISCED 3 (3 - Upper secondary)",,,,,,,Contact
